Ticker,Name,Sector,Industry,IPO Year,Price,Market Cap,Trailing P/E,Forward P/E,PEG Ratio(5yr Expected),Price/Sales(ttm),Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin(TTM),Return on Assets(TTM),Return on Equity(TTM),Revenue(TTM),Revenue Per Share(TTM),Quarterly Revenue Growth(YOY),Gross Profit(TTM),EBITDA,Diluted EPS(TTM),EPS Beat Ratio,Quarterly Earnings Growth(YOY),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow(TTM),Levered Free Cash Flow(TTM),Beta(3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio
PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers,2014,4.76,27875000.0,nan,nan,nan,0.48,0.66,0.74,114.76,-9.79,0.42,0.1,0.97,58400000.0,9.73,-3.1,15490000.0,nan,-1.185,0.2222,nan,2310000.0,0.38,nan,nan,1.35,7.0,8630000.0,-80710000.0,0.52,6010000.0,nan,nan,nan,nan,nan,0.0
TURN,180 Degree Capital Corp.,Finance,Finance/Investors Services,n/a,2.23,69712000.0,nan,nan,nan,329.28,0.79,289.79,-25.04,0.0,-1159.7,-1.64,-3.19,nan,0.01,-76.2,nan,-2450000.0,-0.091,nan,-39.9,5870000.0,0.19,nan,nan,1.45,2.82,-5850000.0,2120000.0,0.61,31120000.0,nan,nan,nan,nan,nan,0.0
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores,1999,13.26,869836000.0,24.18,19.56,1.17,0.69,2.6,0.78,12.68,2.9,3.8,4.99,11.76,1270000000.0,19.69,10.5,526120000.0,77880000.0,0.55,0.8571,nan,34170000.0,0.53,173810000.0,52.76,1.98,5.11,74750000.0,33450000.000000004,1.4,36010000.0,nan,nan,nan,nan,nan,0.0
FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions,n/a,19.28,167223000.0,12.27,11.26,1.44,3.2,1.21,6.08,nan,26.21,38.05,1.08,10.45,52270000.0,6.09,0.4,50220000.0,nan,1.57,1.05,-9.7,20760000.0,2.39,172060000.0,nan,nan,15.95,nan,nan,0.25,8680000.0,0.3,1.57,0.3,1.56,nan,19.11
SRCE,1st Source Corporation,Finance,Major Banks,n/a,52.33,1322000000.0,14.64,14.59,1.28,4.29,1.63,5.09,nan,29.71,40.3,1.41,11.56,307820000.0,11.98,9.7,291490000.0,nan,3.54,1.0674,22.9,156420000.0,6.13,380910000.0,nan,nan,31.88,135330000.0,nan,1.43,25510000.0,1.16,2.27,0.27,0.52,1.94,29.86
VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing",2011,8.16,928366000.0,10.78,nan,-71.75,nan,1.2,nan,nan,-6.8,0.0,1.23,-4.17,nan,nan,7.2,944870000.0,nan,0.77,5.0,nan,nan,nan,nan,92.57,2.28,6.87,nan,nan,1.04,112390000.0,nan,nan,nan,nan,nan,0.0
TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software,2014,20.74,1170000000.0,nan,-22.12,-0.69,2.44,1.54,2.89,-43.88,-11.39,-15.42,-4.29,-7.03,479750000.0,8.19,39.0,321280000.0,-31630000.0,-0.93,1.2286,nan,218720000.0,3.45,307150000.0,35.67,2.19,13.62,-30870000.0,-51690000.0,0.45,63330000.0,nan,nan,nan,nan,nan,0.0
JOBS,"51job, Inc.",Technology,Diversified Commercial Services,2004,79.16,5225000000.0,47.36,22.08,59.81,nan,4.99,nan,nan,41.56,0.0,6.42,19.73,nan,nan,8.8,2700000000.0,nan,1.69,1.2388,nan,nan,nan,nan,0.97,4.1,16.05,nan,nan,1.57,66360000.0,nan,nan,nan,nan,nan,0.0
EGHT,8x8 Inc,Technology,EDP Services,n/a,20.06,2013000000.0,nan,-72.85,0.54,5.16,8.22,5.42,-20.0,-32.6,-31.27,-15.61,-53.15,389870000.0,4.04,27.8,222610000.0,-105650000.0,-1.32,0.9412,nan,191540000.0,1.91,302940000.0,126.82,2.45,2.39,-54830000.0,-3280000.0,0.67,100230000.0,nan,nan,nan,nan,nan,0.0
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components,n/a,49.99,2579000000.0,51.59,37.52,4.01,5.62,9.23,5.56,29.68,10.94,13.84,11.93,18.98,459100000.0,8.81,0.5,103530000.0,85980000.0,0.96,0.9286,-1.8,28370000.0,0.55,nan,nan,3.16,5.36,81250000.0,30010000.0,1.03,52100000.0,0.32,0.66,0.32,0.65,0.78,33.33
ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,n/a,2.63,128065000.0,nan,-1.81,nan,58.45,1.25,34.05,-1.03,0.0,-3558.01,-29.88,-56.98,2190000.0,0.05,nan,-35700000.0,-72340000.0,-1.586,1.4,nan,62510000.0,1.27,8400000.0,7.84,2.54,2.18,-56330000.0,-35490000.0,2.01,49320000.0,nan,nan,nan,nan,nan,0.0
ABIL,Ability Inc.,Consumer Durables,Telecommunications Equipment,2014,0.46,3512000.0,nan,nan,nan,6.52,0.79,-13.06,0.73,0.0,-1886.83,-28.01,-492.22,nan,0.18,-94.8,-1100000.0,-9690000.0,-3.446,-1.6667,nan,9860000.0,1.56,nan,nan,1.12,0.56,-5090000.0,-1270000.0,0.15,8039999.999999999,nan,nan,nan,nan,nan,0.0
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments,n/a,216.07,9732000000.0,45.75,44.36,2.1,11.86,10.0,11.29,34.91,26.92,30.28,15.44,24.75,820280000.0,18.16,12.8,639870000.0,265220000.00000003,4.79,0.3011,-73.9,445320000.0,9.86,12700000.0,1.28,5.77,21.92,283890000.0,159590000.0,0.37,45160000.0,nan,nan,nan,nan,nan,0.0
AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production,n/a,0.2799,45145000.0,1.03,1.68,1.58,0.31,0.29,1.57,2.2,29.82,37.21,9.11,33.44,146960000.0,0.88,12.6,112840000.0,104620000.0,0.261,0.5,nan,1320000.0,0.01,186740000.0,121.24,0.47,0.93,77410000.0,-107980000.0,2.27,168450000.0,nan,nan,nan,nan,nan,0.0
ACIU,AC Immune SA,Health Care,Major Pharmaceuticals,2016,5.49,377054000.0,nan,-5.61,nan,nan,1.86,nan,nan,23.02,0.0,5.72,10.02,nan,nan,-25.5,-37080000.0,nan,-0.55,1.0909,nan,nan,nan,nan,0.94,21.9,2.99,nan,nan,-0.01,67560000.0,nan,nan,nan,nan,nan,0.0
ACIA,"Acacia Communications, Inc.",Technology,Semiconductors,2016,65.95,2727000000.0,99.52,29.63,-2.82,6.15,4.92,5.47,81.68,6.58,3.82,1.61,5.48,443120000.0,10.9,26.1,147120000.0,29700000.0,0.66,1.3636,85.3,322350000.0,7.81,20740000.0,3.74,3.91,13.43,95690000.0,70540000.0,1.73,41270000.0,nan,nan,nan,nan,nan,0.0
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies,n/a,2.49,123327000.0,nan,nan,nan,1.72,0.71,-0.49,-9.31,-76.22,-8.23,-1.63,-26.15,71780000.0,1.45,-15.8,49370000.0,3780000.0,-1.102,-1.375,nan,164900000.0,3.29,nan,nan,9.17,3.59,-54780000.0,-1570000.0,0.15,50130000.0,nan,nan,0.12,5.08,nan,0.0
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities,n/a,30.56,2692000000.0,nan,12.77,2.26,0.88,1.1,2.04,11.24,-6.89,12.92,3.74,-8.18,3070000000.0,35.07,2.1,1230000000.0,558380000.0,-2.41,0.9455,-7.9,92900000.0,1.06,3680000000.0,150.09,1.17,27.62,341430000.0,53910000.0,0.65,88520000.0,nan,nan,nan,nan,nan,0.0
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,1985,40.9,6128000000.0,nan,-31.69,-0.98,20.4,9.18,18.89,-22.29,-82.48,-85.71,-31.18,-54.28,300320000.0,2.12,62.2,18310000.0,-254510000.0,-1.75,0.725,nan,683850000.0,4.44,10270000.0,1.49,10.96,4.49,-160500000.0,-73020000.0,1.7,154020000.0,nan,nan,nan,nan,nan,0.0
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals,n/a,2.01,160218000.0,nan,-5.46,nan,nan,nan,nan,nan,0.0,0.0,-83.31,-1006.68,nan,nan,nan,nan,nan,-1.224,1.2917,nan,nan,nan,nan,52.34,1.61,-0.3,nan,nan,1.18,84820000.0,nan,nan,nan,nan,nan,0.0
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,n/a,15.94,844375000.0,nan,-10.53,-0.34,125.39,32.68,126.37,-11.61,0.0,-1129.14,-25.22,-143.64,6730000.0,0.12,6.7,2480000.0,-73320000.0,-1.6,0.9737,nan,137820000.0,2.53,125290000.0,481.8,19.99,0.48,-65900000.00000001,-30340000.0,2.71,54570000.0,nan,nan,nan,nan,nan,0.0
XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2013,40.7,2115000000.0000002,nan,-22.56,nan,56.36,4.29,46.0,-13.81,0.0,-343.3,-17.84,-28.72,37520000.0,0.76,650.8,-17160000.0,-124990000.0,-2.44,1.0488,nan,430760000.0,8.15,29150000.0,5.83,17.11,9.48,-89630000.0,-52290000.0,1.21,52830000.0,nan,nan,nan,nan,nan,0.0
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments,2007,2.88,236338000.0,nan,-47.83,0.07,0.57,6.21,0.95,36.74,-4.02,0.6,0.37,-37.65,412530000.0,4.69,-6.5,164150000.0,10730000.0,-0.188,1.2222,nan,80910000.0,0.91,221100000.0,539.61,1.94,0.46,nan,nan,1.97,88780000.0,nan,nan,nan,nan,nan,0.0
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2011,2.04,148021000.0,nan,-2.9,nan,67.41,nan,43.76,-2.14,0.0,-2093.99,-31.98,nan,2200000.0,0.03,15.0,-14960000.0,-44970000.0,-0.711,0.7273,nan,91550000.0,1.15,28770000.0,nan,11.69,-0.23,-40850000.0,-28810000.0,1.7,79440000.0,nan,nan,nan,nan,nan,0.0
ACER,Acer Therapeutics Inc.,Health Care,Major Pharmaceuticals,n/a,3.24,33122000.0,nan,-2.75,nan,nan,1.18,nan,-0.31,0.0,0.0,-77.25,-151.27,nan,nan,nan,nan,-30600000.0,-3.195,1.3974,nan,23490000.0,2.33,nan,1.95,4.92,2.73,-27480000.0,-15440000.0,1.21,10100000.0,nan,nan,nan,nan,nan,0.0
ACHV,"Achieve Life Sciences, Inc. ",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,n/a,1.07,6763000.0,nan,-0.71,nan,nan,1.04,nan,-0.07,0.0,0.0,-74.34,-150.98,nan,nan,nan,nan,-16770000.0,-2.346,1.5,nan,7380000.0,0.91,nan,nan,2.43,1.0,-15340000.0,-9310000.0,1.44,8100000.0,nan,nan,nan,nan,nan,0.0
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2006,6.35,899744000.0,nan,-8.25,-0.59,nan,3.81,nan,-8.7,0.0,0.0,-17.34,-26.94,nan,nan,nan,-50120000.0,-75300000.0,-0.51,0.875,nan,233370000.0,1.67,1370000.0,0.59,14.64,1.67,-56510000.0,-31650000.0,1.69,139900000.0,nan,nan,nan,nan,nan,0.0
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software,n/a,33.2,3946000000.0,48.23,28.57,3.26,3.69,3.77,4.96,30.49,7.73,11.95,2.95,8.3,1070000000.0000001,9.18,26.6,579430000.0,173930000.0,0.7,2.0769,nan,139400000.0,1.19,1470000000.0,140.01,1.29,9.02,169690000.0,73930000.0,1.07,116710000.0,nan,nan,nan,nan,nan,0.0
ACRS,"Aclaris Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2015,1.65,73002000.0,nan,-0.94,0.0,4.51,0.51,-0.78,0.09,0.0,-863.85,-41.75,-101.94,16200000.0,0.43,59.5,3240000.0,-134350000.0,-4.168,2.3509,nan,115520000.0,2.79,35880000.0,26.15,3.23,3.32,-109800000.0,-57140000.0,0.96,41370000.0,nan,nan,nan,nan,nan,0.0
ACMR,"ACM Research, Inc.",Technology,Industrial Machinery/Components,2017,15.6,297719000.0,23.19,19.09,1.07,3.18,4.22,2.4,16.52,13.16,13.85,7.78,23.37,93520000.0,5.84,39.0,34450000.0,13590000.0,0.68,2.65,34.1,27580000.0,1.71,19660000.0,32.92,2.03,3.71,6420000.0,3420000.0,-0.63,16309999.999999998,nan,nan,nan,nan,nan,0.0
ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2006,2.5,144346000.0,nan,-1.67,-0.04,0.68,0.41,1.16,-2.8,-155.89,-56.76,-6.84,-74.78,211060000.0,4.44,-66.6,372120000.0,-87360000.0,-6.929,0.902,nan,253160000.0,5.33,383580000.0,136.34,3.42,5.92,nan,nan,1.36,48110000.0,nan,nan,nan,nan,nan,0.0
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software,n/a,56.75,41924000000.0,24.91,21.73,4.37,5.89,3.49,5.84,17.58,23.69,27.47,6.89,15.1,7110000000.0,9.3,-14.9,4980000000.0,2360000000.0,2.19,1.3913,-18.4,4670000000.0,6.09,2960000000.0,24.73,3.45,15.62,1860000000.0,1780000000.0,0.87,767030000.0,0.37,0.66,0.37,0.66,0.66,16.89
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2014,4.5,130524000.0,nan,-1.88,-0.03,2.7,3.05,1.83,-0.87,-241.41,-212.17,-26.88,-125.84,48280000.0,1.76,67.8,33409999.999999996,-101030000.0,-4.252,1.1124,nan,168650000.0,6.07,133120000.0,311.74,7.27,1.54,-90650000.0,-64550000.0,1.6,27770000.0,nan,nan,nan,nan,nan,0.0
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals,n/a,0.9012,71492000.0,nan,-3.71,nan,3.83,1.25,2.95,-1.54,-205.33,-208.27,-56.19,-129.4,18660000.0,0.41,47.0,5290000.0,-35850000.0,-0.831,1.2308,nan,4090000.0,0.07,4490000.0,13.27,1.04,0.71,-32950000.000000004,-20100000.0,1.79,61440000.0,nan,nan,nan,nan,nan,0.0
ADAP,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2015,0.92,94604000.0,nan,-0.87,-0.71,50.51,0.64,8.91,-0.12,0.0,-7555.85,-34.16,-67.94,1870000.0,0.02,-99.4,-38760000.0,-133509999.99999999,-1.375,1.1613,nan,102860000.0,0.98,24940000.0,16.89,3.93,1.4,-131660000.0,-94110000.0,nan,105130000.0,nan,nan,nan,nan,nan,0.0
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,2009,89.1,1412000000.0,59.77,28.69,2.49,2.36,2.65,1.81,24.78,3.33,5.73,4.08,5.52,598150000.0,45.02,23.4,138000000.0,43600000.0,1.47,1.069,37.3,239610000.0,16.87,72780000.0,15.48,5.07,33.09,16610000.0,11530000.0,0.25,15410000.0,nan,nan,nan,nan,nan,0.0
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services,n/a,2.42,26039000.0,nan,nan,nan,0.41,0.81,0.37,-14.91,-13.52,-5.08,-4.53,-22.17,63540000.0,6.14,128.8,11220000.0,-1560000.0,-0.833,nan,nan,2670000.0,0.26,nan,2.42,2.31,2.99,-2190000.0,8980000.0,0.08,10360000.0,nan,nan,nan,nan,nan,0.0
IOTS,Adesto Technologies Corporation,Technology,Semiconductors,2015,7.64,190030000.0,nan,29.04,-38.0,1.61,3.51,2.12,-63.97,-21.81,-11.72,-5.39,-38.87,118380000.0,3.99,46.1,36060000.0,-3920000.0,-0.87,3.0,nan,37200000.0,1.24,61550000.0,95.4,1.9,2.15,nan,nan,0.94,30070000.0,nan,nan,nan,nan,nan,0.0
ADIL,"Adial Pharmaceuticals, Inc",Health Care,Major Pharmaceuticals,2018,1.62,15302000.0,nan,nan,nan,nan,1.58,nan,-0.62,0.0,0.0,-107.06,-325.69,nan,nan,nan,nan,-9310000.0,-1.861,1.1667,nan,10250000.0,1.0,nan,nan,17.05,0.98,-4960000.0,-1930000.0,nan,10240000.0,nan,nan,nan,nan,nan,0.0
ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),n/a,5.04,259266000.00000003,nan,-6.19,nan,12.13,7.42,14.25,-6.42,-260.93,-234.67,-25.68,-152.08,21370000.0,0.42,70.7,-25210000.0,-47390000.0,-1.1,0.8261,nan,48010000.0,0.81,84320000.0,233.47,6.42,0.61,-75330000.0,-57320000.0,2.37,59320000.0,nan,nan,nan,nan,nan,0.0
ADBE,Adobe Inc.,Technology,Computer Software: Prepackaged Software,1986,288.3,145777000000.0,51.74,29.85,1.93,13.7,13.77,13.27,39.6,26.1,28.36,10.64,29.08,10640000000.0,21.84,23.7,7840000000.0,3570000000.0,5.62,1.0406,19.0,3650000000.0,7.54,4139999999.9999995,40.39,0.74,21.12,4150000000.0000005,2850000000.0,1.09,484080000.0,nan,nan,nan,nan,nan,0.0
ADOM,"ADOMANI, Inc.",Capital Goods,Auto Parts:O.E.M.,2017,0.1689,7870000.0,nan,-3.62,nan,0.67,2.38,0.66,-1.55,-44.88,-42.76,-24.59,-81.15,11730000.0,0.16,119.3,nan,-4970000.0,-0.072,1.0,nan,7850000.0,0.11,4950000.0,111.99,1.44,0.06,-3490000.0,-1390000.0,1.69,73040000.0,nan,nan,nan,nan,nan,0.0
ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment,1994,9.18,431147000.0,nan,-471.5,58.57,0.78,1.14,0.67,-30.22,-8.98,-5.32,-3.0,-11.6,554360000.0,11.6,-18.7,203560000.0,-12250000.0,-1.04,1.0,nan,125160000.0,2.62,44320000.0,11.22,2.73,8.26,16840000.0,-3280000.0,1.64,47830000.0,0.36,4.09,0.36,3.95,2.15,450.0
ADRO,"Aduro Biotech, Inc.",Health Care,Major Pharmaceuticals,2015,1.12,88442000.0,nan,-1.29,-0.12,6.04,0.85,-8.77,1.46,0.0,-633.3,-15.75,-65.93,14650000.0,0.18,85.2,-60750000.0,-87830000.0,-1.15,0.8696,nan,251630000.0,3.14,34230000.0,33.87,8.44,1.26,-51400000.0,-31240000.0,1.45,80140000.0,nan,nan,nan,nan,nan,0.0
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals,n/a,13.5,242367000.0,7.14,2.72,0.09,4.78,2.2,5.63,54.28,69.1,3.68,0.86,37.18,50680000.0,2.68,264.5,18690000.0,5260000.0,1.83,0.5946,-46.9,15420000.0,0.85,63780000.0,59.19,1.23,5.95,24130000.0,-17670000.0,0.05,18580000.0,1.0,7.23,1.0,7.47,nan,53.76
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components,1995,63.98,2460000000.0,24.37,20.03,3.23,4.08,3.73,3.55,19.1,16.8,15.94,7.06,14.88,602800000.0,15.68,-31.2,367500000.0,112140000.0,2.62,1.3235,-31.7,359820000.0,9.39,53990000.0,8.23,5.84,17.11,82230000.0,49800000.0,1.86,38310000.0,nan,nan,nan,nan,nan,0.0
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,n/a,36.52,40402000000.0,189.95,33.28,1.6,6.71,18.58,6.63,71.66,3.47,5.91,4.64,12.66,6020000000.0,5.7,9.0,2490000000.0,557000000.0,0.19,1.0,17.6,1210000000.0,1.09,1110000000.0,51.06,2.1,1.95,171000000.0,17880000.0,3.06,1110000000.0,nan,nan,nan,nan,nan,0.0
