Ticker,Name,Sector,Industry,IPO Year,Price,Market Cap,Trailing P/E,Forward P/E,PEG Ratio(5yr Expected),Price/Sales(ttm),Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin(TTM),Return on Assets(TTM),Return on Equity(TTM),Revenue(TTM),Revenue Per Share(TTM),Quarterly Revenue Growth(YOY),Gross Profit(TTM),EBITDA,Diluted EPS(TTM),EPS Beat Ratio,Quarterly Earnings Growth(YOY),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow(TTM),Levered Free Cash Flow(TTM),Beta(3Y Monthly),Shares Outstanding,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio
PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers,2014,4.7,27992000.0,nan,nan,nan,0.63,0.73,0.98,15.45,-16.04,6.05,1.09,4.52,44500000.0,7.41,-96.4,15490000.0,2820000.0,-1.421,0.2222,nan,1800000.0,0.3,nan,nan,1.33,6.34,-2930000.0,-82700000.0,nan,6020000.0,nan,nan,nan,nan,nan,0.0
TURN,180 Degree Capital Corp.,Finance,Finance/Investors Services,n/a,2.19,67378000.0,nan,nan,nan,318.25,0.77,290.52,-25.1,0.0,-1159.7,-1.64,-3.19,nan,0.01,-76.2,nan,-2450000.0,-0.091,nan,-39.9,5870000.0,0.19,nan,nan,1.45,2.82,-5850000.0,2120000.0,0.58,31120000.0,nan,nan,nan,nan,nan,0.0
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores,1999,12.67,826757000.0,23.27,18.82,1.11,0.65,2.51,0.76,12.41,2.9,3.8,4.99,11.76,1270000000.0,19.69,10.5,526120000.0,77880000.0,0.55,0.8571,nan,34170000.0,0.53,173810000.0,52.76,1.98,5.1,74750000.0,33450000.000000004,1.54,36050000.0,nan,nan,nan,nan,nan,0.0
FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions,n/a,19.34,197413000.0,12.34,11.33,1.46,3.78,1.21,6.11,nan,26.21,38.05,1.08,10.45,52270000.0,6.09,0.4,50220000.0,nan,1.57,1.05,-9.7,20760000.0,2.39,172060000.0,nan,nan,15.95,11970000.0,nan,0.25,10190000.0,0.3,1.56,0.3,1.55,nan,19.11
SRCE,1st Source Corporation,Finance,Major Banks,n/a,51.56,1306000000.0,14.46,14.42,1.41,4.24,1.61,5.04,nan,29.71,40.3,1.41,11.56,307820000.0,11.98,9.7,291490000.0,nan,3.54,1.0674,22.9,156420000.0,6.13,380910000.0,nan,nan,31.88,135330000.0,nan,1.07,25510000.0,1.16,2.27,0.27,0.53,1.94,29.86
VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing",2011,7.96,907011000.0,10.54,nan,-69.49,nan,1.18,nan,nan,-6.8,0.0,1.23,-4.17,nan,nan,7.2,944870000.0,nan,0.77,5.0,nan,nan,nan,nan,92.57,2.28,6.87,nan,nan,1.04,112390000.0,nan,nan,nan,nan,nan,0.0
TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software,2014,22.31,1440000000.0,nan,-21.01,-0.73,2.74,1.96,3.04,-25.97,-35.28,-22.33,-7.26,-26.07,526590000.00000006,8.78,43.8,321280000.0,-61560000.0,-3.1,0.82,nan,154090000.0,2.43,312170000.0,42.58,1.79,11.56,-62740000.0,-61530000.0,0.45,63480000.0,nan,nan,nan,nan,nan,0.0
JOBS,"51job, Inc.",Technology,Diversified Commercial Services,2004,75.63,5253000000.0,46.78,21.8,57.06,nan,4.93,nan,nan,28.89,0.0,6.04,12.9,nan,nan,3.6,2700000000.0,nan,1.69,0.875,-61.8,nan,nan,nan,0.89,4.06,16.05,nan,nan,1.57,66360000.0,nan,nan,nan,nan,nan,0.0
EGHT,8x8 Inc,Technology,EDP Services,n/a,20.43,2073999999.9999998,nan,-79.58,0.57,5.32,8.65,5.61,-20.68,-32.6,-31.27,-15.61,-53.15,389870000.0,4.04,27.8,222610000.0,-105650000.0,-1.32,0.9412,nan,191540000.0,1.91,302940000.0,126.82,2.45,2.39,-54830000.0,-3280000.0,0.67,100230000.0,nan,nan,nan,nan,nan,0.0
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components,n/a,50.76,2623000000.0,52.44,38.14,4.16,5.71,9.38,5.65,30.17,10.94,13.84,11.93,18.98,459100000.0,8.81,0.5,103530000.0,85980000.0,0.96,0.9286,-1.8,28370000.0,0.55,nan,nan,3.16,5.36,81250000.0,30010000.0,0.95,52100000.0,0.32,0.63,0.32,0.63,0.78,33.33
